0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.55941	-0.138498	1.56135	-0.138671	1.55945	-0.138502	2.09897	0.0522228	2.19595	0.109339
1.62681	0.0198085	2.29279	-0.0391359	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89114	-0.133707	2.24294	-0.199299	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
3.95764	-0.135613	2.39904	-0.173508	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.85871	0.409687	3.37688	1.25203	6.86352	0.416818	6.56942	0.496096	2.36382	0.348847
6.78427	0.499838	3.25556	1.64456	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.08714	0.607366	1.32302	-1.27729	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.26108	0.647852	2.005	-1.23945	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5726	1.64469	2.60075	3.20308	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.5215	1.69505	2.40807	3.37385	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5963	2.33734	1.64737	-1.84917	13.5921	2.31191	13.827	2.07904	2.5429	0.724947
13.744	2.36564	2.36089	-1.98618	13.6572	1.99915	13.827	2.07904	2.5429	0.724947
16.6404	2.87816	3.41921	2.98035	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.4658	2.81005	2.61177	2.81618	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0111	3.7244	2.49658	-0.961243	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.096	3.72104	2.69661	-0.978694	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3354	4.7127	1.82809	2.91372	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.4195	4.7056	2.15338	2.84238	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0741	5.58909	3.10633	-1.0484	24.0787	5.56968	24.1437	5.83295	2.65286	1.14952
24.1509	5.58237	3.12285	-1.05773	24.5601	5.92334	24.1437	5.83295	2.65286	1.14952
26.6109	6.93893	1.91631	3.51069	26.6053	6.96102	26.7833	7.01246	2.6632	1.22647
26.6336	6.94237	2.05656	3.42771	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5785	8.10988	3.71273	-1.01494	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.547	8.15139	3.53072	-0.829528	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
31.9513	9.85654	1.46053	4.02983	31.9416	9.88017	32.0955	9.56901	2.67104	1.33358
31.9329	9.85433	1.53794	3.94325	31.7928	9.49891	32.0955	9.56901	2.67104	1.33358
34.6064	10.7274	3.57478	-1.94881	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.6791	10.7262	3.67639	-1.94379	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.1519	12.0558	1.34181	4.57171	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.2268	12.0539	1.45358	4.53655	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3141	13.4954	4.49195	-1.37839	40.3285	13.4666	40.0971	13.6505	2.66232	1.36458
